Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
1709096e-9ca0-4984-8bf1-49bcdf868019,2018-06-23 08:11:00,Running,,2.48,21:27,8:38,6.95,300.0,50,,"","",2018-06-23-081100.gpx
ce0bdbcb-13a2-4f6d-93d7-f49486544eac,2018-06-21 07:23:34,Running,,2.55,1:15:44,29:39,2.02,346.0,56,,"","",2018-06-21-072334.gpx
ffa6de9f-1f6d-413f-ac5e-5b44dc42a7a4,2018-06-20 05:45:01,Running,,2.47,20:17,8:14,7.29,298.0,55,,"","",2018-06-20-054501.gpx
99ed1298-630a-4fc6-aa15-a6f931272ae6,2018-06-19 07:09:55,Running,,2.34,19:34,8:22,7.17,281.0,36,,"","",2018-06-19-070955.gpx
08712481-18c3-4c4d-aaa0-3775d58d3532,2018-06-18 06:34:51,Running,,2.52,21:09,8:24,7.14,303.0,55,,"","",2018-06-18-063451.gpx
54ffdc2e-bde3-4d00-9e0e-1d9210786afa,2018-06-17 10:15:57,Running,,2.52,19:38,7:48,7.69,306.0,56,,"","",2018-06-17-101557.gpx
ce63b2a9-3be7-42cc-8892-ed2f8df6a7a8,2018-06-16 10:46:13,Running,,2.57,24:43,9:38,6.23,306.0,55,,"","",2018-06-16-104613.gpx
9115ac4d-7c4f-475b-81e6-191230456cb6,2018-06-14 06:55:23,Running,,2.55,25:15,9:54,6.06,309.0,56,,"","",2018-06-14-065523.gpx
2cf7b436-faec-4c4f-9d39-35ee3831edc0,2018-06-12 06:23:23,Running,,2.52,22:28,8:54,6.74,305.0,56,,"","",2018-06-12-062323.gpx
02ef81f5-9fb1-4fcc-b2e6-626e4a8d9cc7,2018-06-10 10:22:04,Running,,2.40,40:20,16:48,3.57,302.0,37,,"","",2018-06-10-102204.gpx
0ef0e87b-d27a-4527-8f6c-604a7d17a56d,2018-06-07 07:30:47,Running,,3.05,1:35:21,31:13,1.92,434.0,45,,"","",2018-06-07-073047.gpx
a2033036-026f-461e-96a9-05996767d36d,2018-06-06 06:37:48,Running,,2.06,16:59,8:15,7.27,246.0,17,,"","",2018-06-06-063748.gpx
cc2d2e77-3639-4f06-9ea9-547439bb8fc6,2018-06-06 06:18:40,Running,,2.06,16:39,8:04,7.43,244.0,12,,"","",2018-06-06-061840.gpx
